name,category,description,variations
Spaghetti Bolognese,Pasta,Spaghetti con salsa bolognesa,"[{'variacion': 'Tamaño regular', 'precio': 9.99}, {'variacion': 'Tamaño grande', 'precio': 12.99}]"
Fettuccine Alfredo,Pasta,Fettuccine con salsa Alfredo cremosa,"[{'variacion': 'Tamaño regular', 'precio': 10.99}, {'variacion': 'Tamaño grande', 'precio': 14.99}]"
Calzone de York y Queso,Calzone,"Tomate, york, mozzarella y ricotta","[{'variacion': 'Tamaño regular', 'precio': 9.04}]"
Calzone de Atún,Calzone,"Tomate, queso, atún, cebolla, aceitunas y ricotta","[{'variacion': 'Tamaño regular', 'precio': 9.04}]"
Pizza Margarita de la Casa,Pizza,Contiene gluten y lácteos,"[{'variacion': 'Tamaño regular', 'precio': 6.44}, {'variacion': 'Tamaño grande', 'precio': 7.74}]"
Pizza York y Queso,Pizza,Contiene gluten y lácteos,"[{'variacion': 'Tamaño regular', 'precio': 7.15}, {'variacion': 'Tamaño grande', 'precio': 8.45}]"
Pizza Atún y Bacon,Pizza,"Contiene gluten, lacteos, pescado y soja","[{'variacion': 'Tamaño regular', 'precio': 7.15}, {'variacion': 'Tamaño grande', 'precio': 8.45}]"
Pizza Atún y York,Pizza,"Contiene gluten, pescado y lácteos","[{'variacion': 'Tamaño regular', 'precio': 7.15}, {'variacion': 'Tamaño grande', 'precio': 8.45}]"
Pizza Cheddar y Bacon,Pizza,"Contiene gluten, lácteos y soja","[{'variacion': 'Tamaño regular', 'precio': 7.74}, {'variacion': 'Tamaño grande', 'precio': 9.04}]"
Pizza Doble Pepperoni,Pizza,"Contiene gluten, soja, lácteos y mostaza","[{'variacion': 'Tamaño regular', 'precio': 7.74}, {'variacion': 'Tamaño grande', 'precio': 9.04}]"
Pizza Cuatro Estaciones,Pizza,"Cebolla, pimiento, champiñones y jamón york","[{'variacion': 'Tamaño regular', 'precio': 7.74}, {'variacion': 'Tamaño grande', 'precio': 9.04}]"
Pizza Carbonara Francesa,Pizza,"Crema carbonara francesa con nata, bacon, cebolla y champiñon","[{'variacion': 'Tamaño regular', 'precio': 7.74}, {'variacion': 'Tamaño grande', 'precio': 9.04}]"
Pizza Cuatro Queso,Pizza,"Con mozzarella, cheddar, queso azul y queso de cabra","[{'variacion': 'Tamaño regular', 'precio': 8.45}, {'variacion': 'Tamaño grande', 'precio': 9.75}]"
Pizza Serrana,Pizza,"Tomate natural, cebolla, bacon, ajo asado, aove y jamón serrano","[{'variacion': 'Tamaño regular', 'precio': 8.45}, {'variacion': 'Tamaño grande', 'precio': 9.75}]"
Pizza Budare,Pizza especial,"Con borde de queso, pepperoni, maíz, york y aceitunas negras.","[{'variacion': 'Tamaño regular', 'precio': 12.35}, {'variacion': 'Tamaño grande', 'precio': 13.7}]"
Pizza Amor de Madre,Pizza especial,"Pepperoni, bacon y cebolla","[{'variacion': 'Tamaño regular', 'precio': 8.45}]"
Pizza Roma Mía,Pizza especial,"Queso mozzarella, pepperoni, bacon y maíz","[{'variacion': 'Tamaño regular', 'precio': 8.45}]"
Pizza Vilvaldi,Pizza especial,"Cebolla, pimiento, aceitunas, champiñones, bacon y salsa césar","[{'variacion': 'Tamaño regular', 'precio': 8.45}]"
Pizza Carnival,Pizza especial,"Cerdo desmechado, pollo asado, bacon, cebolla y salsa gaucha","[{'variacion': 'Tamaño regular', 'precio': 9.04}, {'variacion': 'Tamaño grande', 'precio': 10.39}]"
Pizza La Regenta,Pizza especial,"Queso de cabra, pimiento y nueces","[{'variacion': 'Tamaño regular', 'precio': 9.04}, {'variacion': 'Tamaño grande', 'precio': 10.39}]"
Pizza Hawai,Pizza especial,"La pizza más polémica - Piña, york y bacon...","[{'variacion': 'Tamaño regular', 'precio': 9.04}, {'variacion': 'Tamaño grande', 'precio': 10.39}]"
Pizza Normanda,Pizza especial,"Roqueford, anchoas y alcaparras","[{'variacion': 'Tamaño regular', 'precio': 9.75}, {'variacion': 'Tamaño grande', 'precio': 11.1}]"
Pizza Primavera,Pizza especial,"Tomate en rodajas, cebolla, pavo, albahaca y AOVE","[{'variacion': 'Tamaño regular', 'precio': 9.04}, {'variacion': 'Tamaño grande', 'precio': 10.39}]"
Pizza El Mariachi,Pizza especial,"Para los amantes del picante - Pimiento, cebolla, jalapeños, pollo cajún y salsa picante","[{'variacion': 'Tamaño regular', 'precio': 9.75}, {'variacion': 'Tamaño grande', 'precio': 11.1}]"
Pizza La Clásica,Pizza vegetariana,"Cebolla, pimiento, tomate, ajo, champiñones y AOVE","[{'variacion': 'Tamaño regular', 'precio': 9.04}, {'variacion': 'Tamaño grande', 'precio': 10.39}]"
Pizza Griega,Pizza vegetariana,"Tomate en rodajas, aceitunas negras, cebolla, queso fresco y salsa césar","[{'variacion': 'Tamaño regular', 'precio': 9.04}, {'variacion': 'Tamaño grande', 'precio': 10.39}]"
Pizza Asturiana,Pizza vegetariana,"Queso de cabra, tomate natural, orégano y romero","[{'variacion': 'Tamaño regular', 'precio': 9.04}, {'variacion': 'Tamaño grande', 'precio': 10.39}]"
Pizza Bianca Chesa,Pizza vegetariana,"Queso brie, miel y nueces","[{'variacion': 'Tamaño regular', 'precio': 9.75}, {'variacion': 'Tamaño grande', 'precio': 11.1}]"
"Botella de Agua, pequeña",Bebidas,,"[{'variacion': 'Único', 'precio': 1.3}]"
Botella de Agua Grande,Bebidas,,"[{'variacion': 'Único', 'precio': 1.8}]"
"Coca Cola, Lata",Bebidas,,"[{'variacion': 'Único', 'precio': 2.3}]"
"Coca Cola Zero, Lata",Bebidas,,"[{'variacion': 'Único', 'precio': 2.3}]"
"Fanta Naranja, Lata",Bebidas,,"[{'variacion': 'Único', 'precio': 2.2}]"
"Fanta Limón, Lata",Bebidas,,"[{'variacion': 'Único', 'precio': 2.2}]"
"Nestea, Lata",Bebidas,,"[{'variacion': 'Único', 'precio': 2.4}]"
"Nestea Maracuya, Lata",Bebidas,,"[{'variacion': 'Único', 'precio': 2.4}]"
"Aquarius Naranja, Lata",Bebidas,,"[{'variacion': 'Único', 'precio': 2.2}]"
"Aquarius Limón, Lata",Bebidas,,"[{'variacion': 'Único', 'precio': 2.2}]"
"Estrella Sur, Botellín",Bebidas,,"[{'variacion': 'Único', 'precio': 1.3}]"
"Alhambra,",Bebidas,,"[{'variacion': 'Único', 'precio': 2.5}]"
Coca cola 2L ,Bebidas,,"[{'variacion': 'Único', 'precio': 2.6}]"
Cruz Campo de 1 L,Bebidas,,"[{'variacion': 'Único', 'precio': 2.5}]"
Maltin polar,Bebidas,Bebida de malta. 207 ml,"[{'variacion': 'Único', 'precio': 1.9}]"
